neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,rel_velocity,miss_distance,is_hazardous,year
54097969,"(2020 XR)",19.9,0.2783267681,0.6223575734,62139.4656803928,17496103.845088,True,2020
54097970,"(2020 XS)",21.22,0.1515496636,0.3388753497,102717.547212057,16377994.404921,False,2020
54097971,"(2020 XU)",22.96,0.0680072129,0.1520687509,58559.0166637287,2495952.33284478,False,2020
54097972,"(2020 XV)",23.89,0.0443154309,0.099092316,34445.0541147426,15751333.3256683,False,2020
54097973,"(2020 XW)",24.8,0.0291443905,0.0651688382,48372.1233304885,7645695.90103712,False,2020
54097974,"(2020 XX)",26.6,0.0127219879,0.0284472297,51529.7567579432,2419621.81485172,False,2020
54097975,"(2020 XY)",25.31,0.0230438467,0.0515276076,52983.4361152055,5999309.97664085,False,2020
54097976,"(2020 XZ)",26.1,0.0160160338,0.0358129403,27142.0943415286,4380454.77265748,False,2020
54097977,"(2020 XA1)",27.4,0.0088014652,0.0196806745,2128.7087257879,1218592.72874879,False,2020
54097978,"(2020 XB1)",26.3,0.0146067964,0.0326617897,26916.5252209871,3167362.2788754,False,2020
54097979,"(2020 XC1)",27.0,0.0105816886,0.023661375,48807.1599313625,2594260.28887933,False,2020
54097980,"(2020 XD1)",27.1,0.0101054342,0.0225964377,28790.927135436,5396655.10694372,False,2020
54097981,"(2020 XE1)",26.68,0.0122618211,0.0274182656,34423.2316791776,326695.254297223,False,2020
54097982,"(2020 XF1)",21.73,0.1198270801,0.2679414966,98352.8119864157,32396037.8742448,False,2020
54098015,"(2020 XG1)",21.8,0.1160259082,0.2594418179,95270.8031106173,13661826.4228242,False,2020
54098016,"(2020 XH1)",22.98,0.067383719,0.1506745763,57230.7128295057,1184763.74353166,False,2020
54098017,"(2020 XJ1)",23.38,0.0560473362,0.1253256538,17943.9779408485,25499068.3619936,False,2020
54098018,"(2020 XK1)",30.6,0.0020162992,0.0045085821,38752.6310552584,20805.608006203,False,2020
54098019,"(2020 XL1)",28.4,0.0055533491,0.0124176661,30916.6844121879,546143.331838049,False,2020
54098020,"(2020 XM1)",21.52,0.131994239,0.2951480911,79505.662308372,10191313.9637728,False,2020
54098021,"(2020 WW5)",28.74,0.004748484,0.010617933,23188.8327033739,2065426.23842878,False,2020
54098022,"(2020 XN1)",19.67,0.3094246986,0.69189466,73521.3187086644,56348090.0985981,False,2020
54098023,"(2020 XO1)",23.8,0.046190746,0.1032856481,59136.6785250136,8284624.91817675,False,2020
54098024,"(2020 XP1)",24.3,0.0366906138,0.0820427065,52307.7202456787,15303017.9800587,False,2020
54098025,"(2020 XQ1)",25.64,0.0197949759,0.0442629117,73516.8534449177,3235608.6027726,False,2020
54098026,"(2020 XR1)",23.8,0.046190746,0.1032856481,78343.8890075445,10391199.5766473,False,2020
54098027,"(2020 XS1)",23.8,0.046190746,0.1032856481,51894.0273922801,40344266.9390431,False,2020
54098028,"(2020 XT1)",24.9,0.0278326768,0.0622357573,55068.8403218,24978681.5796694,False,2020
54098701,"(2020 XU1)",22.24,0.0947447113,0.2118556149,27515.5051056219,46679180.9176169,False,2020
54098702,"(2020 WZ5)",26.3,0.0146067964,0.0326617897,26196.6805614395,2525233.30345733,False,2020
54098703,"(2020 XA2)",24.99,0.0267026877,0.0597090249,37530.8298497818,9182853.53904438,False,2020
54098704,"(2020 XB2)",26.05,0.0163890951,0.0366471308,47453.39668585,2459802.96498565,False,2020
54098705,"(2020 XC2)",21.5,0.1332155667,0.2978790628,51905.3338470906,58946799.024217,False,2020
54098706,"(2020 XE2)",24.29,0.0368599699,0.0824213984,15703.5157845505,27820007.9568596,False,2020
54098707,"(2020 XD2)",24.3,0.0366906138,0.0820427065,42255.6168631741,27115994.9951163,False,2020
54098708,"(2020 XJ2)",24.3,0.0366906138,0.0820427065,31746.8321877351,16383949.2528548,False,2020
54098709,"(2020 XK2)",23.2,0.0608912622,0.1361570015,69410.9537536118,25648379.5575953,False,2020
54098710,"(2020 XF2)",25.3,0.0231502122,0.0517654482,37760.4043154723,21026773.7216078,False,2020
54098711,"(2020 XG2)",27.9,0.0069912523,0.0156329154,37052.7584011919,48962.560062715,False,2020
54098712,"(2020 XH2)",27.1,0.0101054342,0.0225964377,39950.7879722536,1984377.43353549,False,2020
54098713,"(2020 XL2)",24.0,0.0421264611,0.0941976306,27551.4119986469,17478487.8431876,False,2020
54098714,"(2020 XM2)",19.71,0.3037770614,0.6792661593,84179.025234571,43280170.9895402,False,2020
54099342,"(2020 XN2)",23.38,0.0560473362,0.1253256538,52979.034566881,5378583.19057475,False,2020
54099343,"(2020 XO2)",24.8,0.0291443905,0.0651688382,42237.7482147039,4699215.20633203,False,2020
54099344,"(2020 XP2)",22.12,0.1001278698,0.2238927232,44825.115434989,6517469.11204266,False,2020
54099345,"(2020 XQ2)",22.7,0.0766575574,0.1714115092,99719.0315406878,5382680.31719916,False,2020
54099596,"(2020 XR2)",21.25,0.1494703242,0.3342258056,50035.3175127361,41242098.0783701,False,2020
54099597,"(2020 XS2)",24.9,0.0278326768,0.0622357573,35083.2066987159,8069483.97275024,False,2020
54099598,"(2020 XT2)",24.67,0.0309424699,0.069189466,33495.8424576048,5002815.79577503,False,2020
54099599,"(2020 WA6)",20.19,0.2435314063,0.5445527791,42595.8724715593,53824492.2289752,False,2020
54099600,"(2020 XV2)",23.42,0.0550243571,0.1230382028,52673.7761045398,12143920.1756723,False,2020
54099601,"(2020 XW2)",25.0,0.02658,0.0594346868,18952.8884703533,15618614.3888632,False,2020
54099602,"(2020 XY2)",23.2,0.0608912622,0.1361570015,11135.3241823505,37484488.3527386,False,2020
54099603,"(2020 XZ2)",22.3,0.0921626549,0.2060819612,44734.2193166537,21867831.332326,False,2020
54099604,"(2020 VD7)",21.0,0.1677084622,0.3750075218,22882.0272171558,34990762.4251539,False,2020
54099605,"(2020 XA3)",24.5,0.0334622374,0.0748238376,53906.0711529272,4859340.63747882,False,2020
54099606,"(2020 XB3)",27.5,0.008405334,0.0187948982,35904.6034913227,1246285.04478087,False,2020
54099607,"(2020 XC3)",22.55,0.0821400526,0.1836707413,54085.3440997871,7664171.50725829,False,2020
54099608,"(2020 XD3)",25.6,0.0201629919,0.0450858206,32496.3434266991,6840771.30713084,False,2020
54099609,"(2020 XE3)",24.9,0.0278326768,0.0622357573,43367.3109592326,11851964.2993899,False,2020
54099610,"(2020 XF3)",25.61,0.0200703514,0.0448786701,27497.6432818714,6959422.22479883,False,2020
54099611,"(2020 XG3)",25.1,0.0253837029,0.0567596853,17141.9655614828,21642986.0329118,False,2020
54099612,"(2020 XH3)",20.5,0.2111324448,0.4721064988,47969.8141370758,50290538.1855359,False,2020
54099613,"(2020 XJ3)",25.7,0.0192555078,0.0430566244,46432.3337377767,1766778.17623085,False,2020
